dataset	model	run	windows_size	strategy	mask_ratio	epochs	learning_rate	batch	precision	recall	f1
conll2003	FacebookAI/roberta-base	1	2	outside	0.01	7	5e-06	16	0.9133844545137678	0.9279390934844193	0.920604250834358
conll2003	FacebookAI/roberta-base	2	2	outside	0.01	7	5e-06	16	0.9153994056983045	0.9272308781869688	0.9212771571818101
conll2003	FacebookAI/roberta-base	1	2	outside	0.03	7	5e-06	16	0.9134682484298674	0.9270538243626062	0.9202108963093145
conll2003	FacebookAI/roberta-base	2	2	outside	0.03	7	5e-06	16	0.9139766183912057	0.9274079320113314	0.9206432902715529
conll2003	FacebookAI/roberta-base	1	2	outside	0.05	7	5e-06	16	0.9154289708195003	0.927584985835694	0.9214668894556328
conll2003	FacebookAI/roberta-base	2	2	outside	0.05	7	5e-06	16	0.9164481733962594	0.9282932011331445	0.9223326589849591
conll2003	FacebookAI/roberta-base	1	2	outside	0.05	7	5e-06	16	0.916346489696123	0.9290014164305949	0.9226305609284332
conll2003	FacebookAI/roberta-base	2	2	outside	0.05	7	5e-06	16	0.9136967155835081	0.9259915014164306	0.9198030249736194
conll2003	FacebookAI/roberta-base	1	2	outside	0.1	7	5e-06	16	0.9151239958085924	0.9277620396600567	0.9213996834886584
conll2003	FacebookAI/roberta-base	2	2	outside	0.1	7	5e-06	16	0.915910676901605	0.9295325779036827	0.922671353251318
conll2003	FacebookAI/roberta-base	1	2	outside	0.2	7	5e-06	16	0.9141660851360781	0.9277620396600567	0.9209138840070299
conll2003	FacebookAI/roberta-base	2	2	outside	0.2	7	5e-06	16	0.9142907119118419	0.9254603399433428	0.9198416190057193
conll2003	FacebookAI/roberta-base	1	2	outside	0.3	7	5e-06	16	0.9150498164656529	0.9268767705382436	0.920925323247427
conll2003	FacebookAI/roberta-base	2	2	outside	0.3	7	5e-06	16	0.9132555303954015	0.9282932011331445	0.9207129686539643
conll2003	FacebookAI/roberta-base	1	2	outside	0.4	7	5e-06	16	0.913119330076762	0.9266997167138811	0.9198594024604569
conll2003	FacebookAI/roberta-base	2	2	outside	0.4	7	5e-06	16	0.913802128773338	0.9272308781869688	0.9204675279022762
conll2003	FacebookAI/roberta-base	1	2	outside	0.5	7	5e-06	16	0.9124367695796267	0.9261685552407932	0.9192513838854232
conll2003	FacebookAI/roberta-base	2	2	outside	0.5	7	5e-06	16	0.9129370629370629	0.9245750708215298	0.91871921182266
conll2003	FacebookAI/roberta-base	1	2	outside	0.6	7	5e-06	16	0.9116416869989543	0.9261685552407932	0.9188477077112243
conll2003	FacebookAI/roberta-base	2	2	outside	0.6	7	5e-06	16	0.9121032438088594	0.9259915014164306	0.9189949042347567
conll2003	FacebookAI/roberta-base	1	2	outside	0.7	7	5e-06	16	0.9124520404604116	0.9263456090651558	0.919346336320506
conll2003	FacebookAI/roberta-base	2	2	outside	0.7	7	5e-06	16	0.9138714185883997	0.9261685552407932	0.9199788955328878
conll2003	FacebookAI/roberta-base	1	2	outside	0.8	7	5e-06	16	0.9140761439049948	0.9266997167138811	0.9203446456831369
conll2003	FacebookAI/roberta-base	2	2	outside	0.8	7	5e-06	16	0.9121338912133892	0.9263456090651558	0.9191848208011244
conll2003	FacebookAI/roberta-base	1	2	outside	0.9	7	5e-06	16	0.9131574349117596	0.9252832861189801	0.9191803711195146
conll2003	FacebookAI/roberta-base	2	2	outside	0.9	7	5e-06	16	0.9121148459383753	0.9224504249291785	0.9172535211267606
conll2003	FacebookAI/roberta-base	1	2	outside	1.0	7	5e-06	16	0.9142148174406239	0.9132436260623229	0.9137289636846767
conll2003	FacebookAI/roberta-base	2	2	outside	1.0	7	5e-06	16	0.9190967283072546	0.9151912181303116	0.9171398154719659
conll2003	FacebookAI/roberta-base	1	3	windows	0.01	7	5e-06	16	0.912611198325484	0.9263456090651558	0.9194271153677182
conll2003	FacebookAI/roberta-base	2	3	windows	0.01	7	5e-06	16	0.9177769985974754	0.9268767705382436	0.9223044397463002
conll2003	FacebookAI/roberta-base	1	3	windows	0.03	7	5e-06	16	0.9109290569984312	0.9252832861189801	0.9180500658761528
